Date Signed,Project Number,Project Name,Country Code,Developing Member Country,Region,Department,Operations Division,Category Type (Sovereign/Nonsovereign Financing),Project Financing Amount ($ million),Mode of Financial Assistance,Product Type,Loan/Grant/Investment/Approval Number,Project Financing Type,Fund Source,Signed amount ($ million),Primary Sector,Sector,Climate Change Response,Climate Change Impact on the Project,Adaptation Finance ($ million),Mitigation Finance ($ million),Type of Financing,Currency,Project URL
31-Dec-2019,52042-001,"Central Asia Regional Economic Cooperation Corridors 2, 3 and 5 (Obigarm-Nurobod) Road Project",TAJ,Tajikistan,Central and West Asia,CWRD,CWTC,Sovereign,368.100,Project grant,Grant,0683,ADB funds,ADF,110.000,Transport,Transport,Adaptation,Medium,10.000,,Investment,USD,https://www.adb.org/projects/52042-001/main
4-May-2019,51240-001,Second Tashkent Province Water Supply Development Project,UZB,Uzbekistan,Central and West Asia,CWRD,CWUW,Sovereign,124.700,Project loan,Loan,3782,ADB funds,Concessional OCR,105.300,Water and other urban infrastructure and services,Water and other urban infrastructure and services,Dual-use,Medium,5.500,26.600,Investment,USD,https://www.adb.org/projects/51240-001/main
13-Nov-2019,52110-001,Livestock Value Chain Development Project,UZB,Uzbekistan,Central and West Asia,CWRD,CWER,Sovereign,237.454,Project loan,Loan,3823,ADB funds,Concessional OCR,150.000,Finance,"Agriculture, natural resources and rural development",Dual-use,Medium,45.000,6.250,Investment,USD,https://www.adb.org/projects/52110-001/main
30-Aug-2019,51052-002,Railway Efficiency Improvement Project,UZB,Uzbekistan,Central and West Asia,CWRD,CWTC,Sovereign,218.300,Project loan,Loan,3785,ADB funds,OCR,170.000,Transport,Transport,Mitigation,Medium,,155.000,Investment,USD,https://www.adb.org/projects/51052-002/main
27-Dec-2019,49173-004,Improving Access to Health Services for Disadvantaged Groups Investment Program - Tranche 1,MON,Mongolia,East Asia,EARD,EASS,Sovereign,80.440,MFF-Tranche (Loan),Loan,3843,ADB funds,OCR,66.140,Information and communication technology,Information and communication technology,Dual-use,Medium,,33.800,Investment,USD,https://www.adb.org/projects/49173-004/main
27-Dec-2019,49173-004,Improving Access to Health Services for Disadvantaged Groups Investment Program - Tranche 1,MON,Mongolia,East Asia,EARD,EASS,Sovereign,,MFF-Tranche (Loan),Loan,3844,ADB funds,Concessional OCR,10.000,Information and communication technology,Information and communication technology,Dual-use,Medium,2.600,,Investment,USD,https://www.adb.org/projects/49173-004/main
27-Dec-2019,49173-004,Improving Access to Health Services for Disadvantaged Groups Investment Program - Tranche 1,MON,Mongolia,East Asia,EARD,EASS,Sovereign,,MFF-Tranche (Loan),Grant,0672,Cofinancing (Syndicated/Contractual),Japan Fund for the Joint Crediting Mechanism,3.480,Information and communication technology,Information and communication technology,Dual-use,Medium,,3.480,Investment,USD,https://www.adb.org/projects/49173-004/main
13-Jun-2019,50013-002,Sustainable Tourism Development Project,MON,Mongolia,East Asia,EARD,EAER,Sovereign,38.400,Project loan,Loan,3788,ADB funds,Concessional OCR,19.000,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Adaptation,Medium,0.224,,Investment,USD,https://www.adb.org/projects/50013-002/main
13-Jun-2019,50013-002,Sustainable Tourism Development Project,MON,Mongolia,East Asia,EARD,EAER,Sovereign,,Project loan,Loan,3788,ADB funds,Concessional OCR,,"Agriculture, natural resources and rural development",Industry and trade,Adaptation,Medium,2.527,,Investment,USD,https://www.adb.org/projects/50013-002/main
13-Jun-2019,50013-002,Sustainable Tourism Development Project,MON,Mongolia,East Asia,EARD,EAER,Sovereign,,Project loan,Loan,3787,ADB funds,OCR,19.000,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Adaptation,Medium,0.224,,Investment,USD,https://www.adb.org/projects/50013-002/main
13-Jun-2019,50013-002,Sustainable Tourism Development Project,MON,Mongolia,East Asia,EARD,EAER,Sovereign,,Project loan,Loan,3787,ADB funds,OCR,,"Agriculture, natural resources and rural development",Industry and trade,Adaptation,Medium,2.527,,Investment,USD,https://www.adb.org/projects/50013-002/main
13-Dec-2019,53028-001,"Ulaanbaatar Air Quality Improvement Program, Phase 2",MON,Mongolia,East Asia,EARD,EAER,Sovereign,160.750,Stand-Alone Policy-Based Lending (Loan),Loan,3880,ADB funds,OCR,160.000,Energy,Energy,Dual-use,High,8.890,23.644,Investment,USD,https://www.adb.org/projects/53028-001/main
