Date Signed,Project Number,Project Name,Country Code,Developing Member Country,Region,Department,Operations Division,Category Type (Sovereign/Nonsovereign Financing),Project Financing Amount ($ million),Mode of Financial Assistance,Product Type,Loan/Grant/Investment/Approval Number,Project Financing Type,Fund Source,Signed amount ($ million),Primary Sector,Sector,Climate Change Response,Climate Change Impact on the Project,Adaptation Finance ($ million),Mitigation Finance ($ million),Type of Financing,Currency,Project URL
01-Oct-2019,52307-003,Support for Innovation and Technology Partnerships in Asia and the Pacific - Energy Sector High-Level Technology Application (Subproject 2),CAM; INO; MLD; MON; PAK; PNG; PHI; TAJ; THA; TIM; UZB; VIE; REG,Cambodia; Indonesia; Maldives; Mongolia; Pakistan; Papua New Guinea; Philippines; Tajikistan; Thailand; Timor-Leste; Uzbekistan; Viet Nam; Regional,Regional,SDCC,SDSC-ENE,Sovereign,1.500,KSTA,Technical assistance,9815,Cofinancing (Syndicated/Contractual),High Level Technology Fund,1.500,Energy,Energy,Mitigation,Medium,,1.500,Technical assistance,USD,https://www.adb.org/projects/52307-003/main
04-Oct-2019,51219-002,Renewable Biomass Project,PNG,Papua New Guinea,Pacific,PSOD,PSIF2,Nonsovereign,0.225,TRTA,Technical assistance,9817,Cofinancing (Syndicated/Contractual),Clean Energy Financing Partnership Facility (Canadian Climate Fund for the Private Sector in Asia),0.225,Energy,Energy,Mitigation,,,0.225,Technical assistance,USD,https://www.adb.org/projects/51219-002/main
03-Oct-2019,53103-001,Pacific Region Infrastructure Facility Coordination Office-Leveraging Infrastructure for Sustainable Development,COO; FSM; FIJ; KIR; RMI; NAU;  NIU; PAL; SOL; SAM; TON; TUV; VAN; REG,Cook Islands; Federated States of Micronesia; Fiji; Kiribati; Marshall Islands; Nauru;  Niue; Palau; Solomon Islands; Samoa; Tonga; Tuvalu; Vanuatu; Regional,Pacific,PARD,PLCO,Sovereign,9.093,KSTA,Technical assistance,9819,ADB funds,TASF,2.000,Transport,Transport,Dual-use,Low,0.019,0.019,Technical assistance,USD,https://www.adb.org/projects/53103-001/main
03-Oct-2019,53103-001,Pacific Region Infrastructure Facility Coordination Office-Leveraging Infrastructure for Sustainable Development,COO; FSM; FIJ; KIR; RMI; NAU;  NIU; PAL; SOL; SAM; TON; TUV; VAN; REG,Cook Islands; Federated States of Micronesia; Fiji; Kiribati; Marshall Islands; Nauru;  Niue; Palau; Solomon Islands; Samoa; Tonga; Tuvalu; Vanuatu; Regional,Pacific,PARD,PLCO,Sovereign,,KSTA,Technical assistance,9819,ADB funds,TASF,,Transport,Energy,Dual-use,Low,0.017,0.017,Technical assistance,USD,https://www.adb.org/projects/53103-001/main
03-Oct-2019,53103-001,Pacific Region Infrastructure Facility Coordination Office-Leveraging Infrastructure for Sustainable Development,COO; FSM; FIJ; KIR; RMI; NAU;  NIU; PAL; SOL; SAM; TON; TUV; VAN; REG,Cook Islands; Federated States of Micronesia; Fiji; Kiribati; Marshall Islands; Nauru;  Niue; Palau; Solomon Islands; Samoa; Tonga; Tuvalu; Vanuatu; Regional,Pacific,PARD,PLCO,Sovereign,,KSTA,Technical assistance,9819,ADB funds,TASF,,Transport,Water and other urban infrastructure and services,Dual-use,Low,0.014,0.014,Technical assistance,USD,https://www.adb.org/projects/53103-001/main
03-Oct-2019,53103-001,Pacific Region Infrastructure Facility Coordination Office-Leveraging Infrastructure for Sustainable Development,COO; FSM; FIJ; KIR; RMI; NAU;  NIU; PAL; SOL; SAM; TON; TUV; VAN; REG,Cook Islands; Federated States of Micronesia; Fiji; Kiribati; Marshall Islands; Nauru;  Niue; Palau; Solomon Islands; Samoa; Tonga; Tuvalu; Vanuatu; Regional,Pacific,PARD,PLCO,Sovereign,,KSTA,Technical assistance,9819,Cofinancing (Syndicated/Contractual),Australia,4.089,Transport,Transport,Dual-use,Low,0.039,0.039,Technical assistance,USD,https://www.adb.org/projects/53103-001/main
03-Oct-2019,53103-001,Pacific Region Infrastructure Facility Coordination Office-Leveraging Infrastructure for Sustainable Development,COO; FSM; FIJ; KIR; RMI; NAU;  NIU; PAL; SOL; SAM; TON; TUV; VAN; REG,Cook Islands; Federated States of Micronesia; Fiji; Kiribati; Marshall Islands; Nauru;  Niue; Palau; Solomon Islands; Samoa; Tonga; Tuvalu; Vanuatu; Regional,Pacific,PARD,PLCO,Sovereign,,KSTA,Technical assistance,9819,Cofinancing (Syndicated/Contractual),Australia,,Transport,Energy,Dual-use,Low,0.033,0.033,Technical assistance,USD,https://www.adb.org/projects/53103-001/main
03-Oct-2019,53103-001,Pacific Region Infrastructure Facility Coordination Office-Leveraging Infrastructure for Sustainable Development,COO; FSM; FIJ; KIR; RMI; NAU;  NIU; PAL; SOL; SAM; TON; TUV; VAN; REG,Cook Islands; Federated States of Micronesia; Fiji; Kiribati; Marshall Islands; Nauru;  Niue; Palau; Solomon Islands; Samoa; Tonga; Tuvalu; Vanuatu; Regional,Pacific,PARD,PLCO,Sovereign,,KSTA,Technical assistance,9819,Cofinancing (Syndicated/Contractual),Australia,,Transport,Water and other urban infrastructure and services,Dual-use,Low,0.028,0.028,Technical assistance,USD,https://www.adb.org/projects/53103-001/main
03-Oct-2019,53103-001,Pacific Region Infrastructure Facility Coordination Office-Leveraging Infrastructure for Sustainable Development,COO; FSM; FIJ; KIR; RMI; NAU;  NIU; PAL; SOL; SAM; TON; TUV; VAN; REG,Cook Islands; Federated States of Micronesia; Fiji; Kiribati; Marshall Islands; Nauru;  Niue; Palau; Solomon Islands; Samoa; Tonga; Tuvalu; Vanuatu; Regional,Pacific,PARD,PLCO,Sovereign,,KSTA,Technical assistance,9819,Cofinancing (Syndicated/Contractual),New Zealand,3.000,Transport,Transport,Dual-use,Low,0.039,0.039,Technical assistance,USD,https://www.adb.org/projects/53103-001/main
03-Oct-2019,53103-001,Pacific Region Infrastructure Facility Coordination Office-Leveraging Infrastructure for Sustainable Development,COO; FSM; FIJ; KIR; RMI; NAU;  NIU; PAL; SOL; SAM; TON; TUV; VAN; REG,Cook Islands; Federated States of Micronesia; Fiji; Kiribati; Marshall Islands; Nauru;  Niue; Palau; Solomon Islands; Samoa; Tonga; Tuvalu; Vanuatu; Regional,Pacific,PARD,PLCO,Sovereign,,KSTA,Technical assistance,9819,Cofinancing (Syndicated/Contractual),New Zealand,,Transport,Energy,Dual-use,Low,0.033,0.033,Technical assistance,USD,https://www.adb.org/projects/53103-001/main
03-Oct-2019,53103-001,Pacific Region Infrastructure Facility Coordination Office-Leveraging Infrastructure for Sustainable Development,COO; FSM; FIJ; KIR; RMI; NAU;  NIU; PAL; SOL; SAM; TON; TUV; VAN; REG,Cook Islands; Federated States of Micronesia; Fiji; Kiribati; Marshall Islands; Nauru;  Niue; Palau; Solomon Islands; Samoa; Tonga; Tuvalu; Vanuatu; Regional,Pacific,PARD,PLCO,Sovereign,,KSTA,Technical assistance,9819,Cofinancing (Syndicated/Contractual),New Zealand,,Transport,Water and other urban infrastructure and services,Dual-use,Low,0.028,0.028,Technical assistance,USD,https://www.adb.org/projects/53103-001/main
01-Nov-2019,53074-001,Preparing Sustainable Development Projects,PRC,People's Republic of China,East Asia,EARD,EASI,Sovereign,1.800,TRTA,Technical assistance,9820,ADB funds,TASF,1.800,Transport,Transport,Dual-use,Medium,0.025,0.025,Technical assistance,USD,https://www.adb.org/projects/53074-001/main
01-Nov-2019,53074-001,Preparing Sustainable Development Projects,PRC,People's Republic of China,East Asia,EARD,EASI,Sovereign,,TRTA,Technical assistance,9820,ADB funds,TASF,,Transport,"Agriculture, natural resources and rural development",Dual-use,Medium,0.015,0.015,Technical assistance,USD,https://www.adb.org/projects/53074-001/main
01-Nov-2019,53074-001,Preparing Sustainable Development Projects,PRC,People's Republic of China,East Asia,EARD,EASI,Sovereign,,TRTA,Technical assistance,9820,ADB funds,TASF,,Transport,Energy,Dual-use,Medium,0.013,0.013,Technical assistance,USD,https://www.adb.org/projects/53074-001/main
01-Nov-2019,53074-001,Preparing Sustainable Development Projects,PRC,People's Republic of China,East Asia,EARD,EASI,Sovereign,,TRTA,Technical assistance,9820,ADB funds,TASF,,Transport,Industry and trade,Dual-use,Medium,0.010,0.010,Technical assistance,USD,https://www.adb.org/projects/53074-001/main
01-Nov-2019,53074-001,Preparing Sustainable Development Projects,PRC,People's Republic of China,East Asia,EARD,EASI,Sovereign,,TRTA,Technical assistance,9820,ADB funds,TASF,,Transport,Water and other urban infrastructure and services,Dual-use,Medium,0.028,0.028,Technical assistance,USD,https://www.adb.org/projects/53074-001/main
11-Oct-2019,53350-001,"Integrated Disaster Risk Management Fund: Sharing Lessons, Achievements, and Best Practices",CAM; INO; LAO; MYA; PHI; THA; VIE; REG,Cambodia; Indonesia; Lao People's Democratic Republic; Myanmar; Philippines; Thailand; Viet Nam; Regional,Southeast Asia,SDCC,SDCD,Sovereign,0.225,KSTA,Technical assistance,9822,Cofinancing (Syndicated/Contractual),Integrated Disaster Risk Management Fund,0.225,Public sector management,Public sector management,Adaptation,Low,0.113,,Technical assistance,USD,https://www.adb.org/projects/53350-001/main
31-Oct-2019,53381-001,Strengthening Urban Investment Planning and Capacity for Project Preparation and Implementation in Central and West Asia,AFG; ARM; AZE; GEO; KAZ; KGZ; PAK; TAJ; TKM; UZB; REG,Afghanistan; Armenia; Azerbaijan; Georgia; Kazakhstan; Kyrgyz Republic; Pakistan; Tajikistan; Turkmenistan; Uzbekistan; Regional,Central and West Asia,CWRD,CWUW,Sovereign,0.225,KSTA,Technical assistance,9856,ADB funds,TASF,0.225,Water and other urban infrastructure and services,Water and other urban infrastructure and services,Dual-use,Low,0.017,0.017,Technical assistance,USD,https://www.adb.org/projects/53381-001/main
15-Nov-2019,52152-003,Sustainable Infrastructure Assistance Program Phase II - Supporting Sustainable and Universal Electricity Access Phase 2 (Subproject 3),INO,Indonesia,Southeast Asia,SERD,SEEN,Sovereign,3.500,TRTA,Technical assistance,9861,Cofinancing (Syndicated/Contractual),Australia,3.500,Energy,Energy,Dual-use,Low,1.500,1.500,Technical assistance,USD,https://www.adb.org/projects/52152-003/main
19-Dec-2019,52196-001,Attached TA to Scaling Up Demand-Side Energy Efficiency Sector Project,IND,India,South Asia,SARD,SAEN,Sovereign,2.000,TRTA,Technical assistance,9874,Cofinancing (Syndicated/Contractual),Climate Investment Funds (Clean Technology Fund),2.000,Energy,Energy,Mitigation,Low,,2.000,Technical assistance,USD,https://www.adb.org/projects/52196-001/main
18-Nov-2019,53198-001,Developing a Disaster Risk Transfer Facility in the Central Asia Regional Economic Cooperation Region,Afghanistan; Azerbaijan; Georgia; Kazakhstan; Kyrgyz Republic; Mongolia; Pakistan; People's Republic of China; Tajikistan; Turkmenistan; Uzbekistan; Regional,Afghanistan; Azerbaijan; Georgia; Kazakhstan; Kyrgyz Republic; Mongolia; Pakistan; People's Republic of China; Tajikistan; Turkmenistan; Uzbekistan; Regional,Regional,CWRD,CWRC,Sovereign,1.500,KSTA,Technical assistance,9878,ADB funds,TASF,1.500,Finance,Finance,Adaptation,High,0.750,,Technical assistance,USD,https://www.adb.org/projects/53198-001/main
18-Nov-2019,53198-001,Developing a Disaster Risk Transfer Facility in the Central Asia Regional Economic Cooperation Region,Afghanistan; Azerbaijan; Georgia; Kazakhstan; Kyrgyz Republic; Mongolia; Pakistan; People's Republic of China; Tajikistan; Turkmenistan; Uzbekistan; Regional,Afghanistan; Azerbaijan; Georgia; Kazakhstan; Kyrgyz Republic; Mongolia; Pakistan; People's Republic of China; Tajikistan; Turkmenistan; Uzbekistan; Regional,Regional,CWRD,CWRC,Sovereign,,KSTA,Technical assistance,9878,ADB funds,TASF,,Finance,Public sector management,Adaptation,High,0.750,,Technical assistance,USD,https://www.adb.org/projects/53198-001/main
18-Nov-2019,53198-001,Developing a Disaster Risk Transfer Facility in the Central Asia Regional Economic Cooperation Region,Afghanistan; Azerbaijan; Georgia; Kazakhstan; Kyrgyz Republic; Mongolia; Pakistan; People's Republic of China; Tajikistan; Turkmenistan; Uzbekistan; Regional,Afghanistan; Azerbaijan; Georgia; Kazakhstan; Kyrgyz Republic; Mongolia; Pakistan; People's Republic of China; Tajikistan; Turkmenistan; Uzbekistan; Regional,Regional,CWRD,CWRC,Sovereign,,KSTA,Technical assistance,9878,ADB funds,Financial Sector Development Partnership Special Fund,0.500,Finance,Finance,Adaptation,High,,,Technical assistance,USD,https://www.adb.org/projects/53198-001/main
27-Dec-2019,53035-001,Sustainable Fodder Management,MON,Mongolia,East Asia,EARD,EAER,Sovereign,1.000,KSTA,Technical assistance,9887,Cofinancing (Syndicated/Contractual),Japan Fund for Poverty Reduction,1.000,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Adaptation,Low,0.300,,Technical assistance,USD,https://www.adb.org/projects/53035-001/main
09-Dec-2019,53102-001,Supporting the Operational Priority 1 Agenda: Strengthening Poverty and Social Analysis,REG,Regional,Regional,SDCC,SAOD; SDTC-SOC,Sovereign,2.250,KSTA,Technical assistance,9896,ADB funds,TASF,1.000,Multisector,Multisector,Dual-use,Low,,,Technical assistance,USD,https://www.adb.org/projects/53102-001/main
09-Dec-2019,53102-001,Supporting the Operational Priority 1 Agenda: Strengthening Poverty and Social Analysis,REG,Regional,Regional,SDCC,SAOD; SDTC-SOC,Sovereign,,KSTA,Technical assistance,9896,Cofinancing (Syndicated/Contractual),Urban Climate Change Resilience Trust Fund,0.500,Multisector,Multisector,Dual-use,Low,0.250,0.250,Technical assistance,USD,https://www.adb.org/projects/53102-001/main
11-Dec-2019,53266-001,Accelerating Sanitation for All in Asia and the Pacific,REG,Regional,Regional,SDCC,SCSC-WAT,Sovereign,5.000,KSTA,Technical assistance,9897,Cofinancing (Syndicated/Contractual),Sanitation Financing Partnership Trust Fund under the Water Financing Partnership Facility,3.000,Water and other urban infrastructure and services,Water and other urban infrastructure and services,Adaptation,Low,,,Technical assistance,USD,https://www.adb.org/projects/53266-001/main
11-Dec-2019,53266-001,Accelerating Sanitation for All in Asia and the Pacific,REG,Regional,Regional,SDCC,SCSC-WAT,Sovereign,,KSTA,Technical assistance,9897,Cofinancing (Syndicated/Contractual),Urban Climate Change Resilience Trust Fund,2.000,Water and other urban infrastructure and services,Water and other urban infrastructure and services,Adaptation,Low,1.460,,Technical assistance,USD,https://www.adb.org/projects/53266-001/main
11-Dec-2019,53266-001,Accelerating Sanitation for All in Asia and the Pacific,REG,Regional,Regional,SDCC,SCSC-WAT,Sovereign,,KSTA,Technical assistance,9897,Cofinancing (Syndicated/Contractual),Urban Climate Change Resilience Trust Fund,,Water and other urban infrastructure and services,"Agriculture, natural resources and rural development",Adaptation,Low,0.540,,Technical assistance,USD,https://www.adb.org/projects/53266-001/main
12-Dec-2019,53125-001,Strengthening Safeguards Implementation in ADB Projects,REG,Regional,Regional,SDCC,SDSS,Sovereign,3.000,KSTA,Technical assistance,9901,ADB funds,TASF,,Water and other urban infrastructure and services,Water and other urban infrastructure and services,Dual-use,Low,,,Technical assistance,USD,https://www.adb.org/projects/53125-001/main
12-Dec-2019,53125-001,Strengthening Safeguards Implementation in ADB Projects,REG,Regional,Regional,SDCC,SDSS,Sovereign,,KSTA,Technical assistance,9901,Cofinancing (Syndicated/Contractual),Urban Climate Change Resilience Trust Fund,2.000,Water and other urban infrastructure and services,Water and other urban infrastructure and services,Dual-use,Low,0.335,0.335,Technical assistance,USD,https://www.adb.org/projects/53125-001/main
12-Dec-2019,53125-001,Strengthening Safeguards Implementation in ADB Projects,REG,Regional,Regional,SDCC,SDSS,Sovereign,,KSTA,Technical assistance,9901,Cofinancing (Syndicated/Contractual),Urban Climate Change Resilience Trust Fund,,Water and other urban infrastructure and services,Energy,Dual-use,Low,0.335,0.335,Technical assistance,USD,https://www.adb.org/projects/53125-001/main
12-Dec-2019,53125-001,Strengthening Safeguards Implementation in ADB Projects,REG,Regional,Regional,SDCC,SDSS,Sovereign,,KSTA,Technical assistance,9901,Cofinancing (Syndicated/Contractual),Urban Climate Change Resilience Trust Fund,,Water and other urban infrastructure and services,Transport,Dual-use,Low,0.330,0.330,Technical assistance,USD,https://www.adb.org/projects/53125-001/main
20-Dec-2019,52051-004,Preparing Kurram Tangi Integrated Water Resources Development Project,PAK,Pakistan,Central and West Asia,CWRD,CWER,Sovereign,1.800,TRTA,Technical assistance,9903,ADB funds,TASF,1.800,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Dual-use,Medium,0.111,0.139,Technical assistance,USD,https://www.adb.org/projects/52051-004/main
20-Dec-2019,52051-004,Preparing Kurram Tangi Integrated Water Resources Development Project,PAK,Pakistan,Central and West Asia,CWRD,CWER,Sovereign,,TRTA,Technical assistance,9903,ADB funds,TASF,,"Agriculture, natural resources and rural development",Energy,Dual-use,Medium,0.089,0.111,Technical assistance,USD,https://www.adb.org/projects/52051-004/main
16-Dec-2019,53369-001,Stocktaking Study for Benchmarking Sustainable Management of Exclusive Economic Zones in the Pacific,REG (Pacific),Regional (Pacific),Pacific,PARD,PAEN,Sovereign,0.225,KSTA,Technical assistance,9907,ADB funds,TASF,0.225,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Adaptation,Low,0.050,,Technical assistance,USD,https://www.adb.org/projects/53369-001/main
18-Dec-2019,53390-001,Greater Mekong Subregion Climate Change and Environmental Sustainability Program,CAM; LAO; MYA; PRC; THA; VIE; REG,Cambodia; Lao People's Democratic Republic; Myanmar; People's Republic of China; Thailand; Viet Nam; Regional,Regional,SERD,SEER,Sovereign,5.000,KSTA,Technical assistance,9915,ADB funds,TASF,2.000,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Dual-use,Low,1.000,0.500,Technical assistance,USD,https://www.adb.org/projects/53390-001/main
18-Dec-2019,53390-001,Greater Mekong Subregion Climate Change and Environmental Sustainability Program,CAM; LAO; MYA; PRC; THA; VIE; REG,Cambodia; Lao People's Democratic Republic; Myanmar; People's Republic of China; Thailand; Viet Nam; Regional,Regional,SERD,SEER,Sovereign,,KSTA,Technical assistance,9915,ADB funds,Climate Change Fund,3.000,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Dual-use,Low,1.500,1.500,Technical assistance,USD,https://www.adb.org/projects/53390-001/main
18-Dec-2019,53391-001,Greater Mekong Subregion Sustainable Agriculture and Food Security Program,CAM; LAO; MYA; PRC; THA; VIE; REG,Cambodia; Lao People's Democratic Republic; Myanmar; People's Republic of China; Thailand; Viet Nam; Regional,Regional,SERD,SEER,Sovereign,3.750,KSTA,Technical assistance,9916,ADB funds,TASF,3.000,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Dual-use,Low,1.150,0.350,Technical assistance,USD,https://www.adb.org/projects/53390-001/main
18-Dec-2019,53391-001,Greater Mekong Subregion Sustainable Agriculture and Food Security Program,CAM; LAO; MYA; PRC; THA; VIE; REG,Cambodia; Lao People's Democratic Republic; Myanmar; People's Republic of China; Thailand; Viet Nam; Regional,Regional,SERD,SEER,Sovereign,,KSTA,Technical assistance,9916,ADB funds,Climate Change Fund,0.750,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Dual-use,Low,0.600,0.150,Technical assistance,USD,https://www.adb.org/projects/53390-001/main
18-Dec-2019,53212-001,Integrated and Innovative Solutions for More Livable Cities,REG,Regional,Regional,SDCC,SDSC-URB,Sovereign,2.500,KSTA,Technical assistance,9919,Cofinancing (Syndicated/Contractual),Urban Climate Change Resilience Trust Fund,2.000,Water and other urban infrastructure and services,Water and other urban infrastructure and services,Dual-use,Low,1.000,1.000,Technical assistance,USD,https://www.adb.org/projects/53212-001/main
18-Dec-2019,53212-001,Integrated and Innovative Solutions for More Livable Cities,REG,Regional,Regional,SDCC,SDSC-URB,Sovereign,,KSTA,Technical assistance,9919,Cofinancing (Syndicated/Contractual),Republic of Korea e-Asia and Knowledge Partnership Fund,,Water and other urban infrastructure and services,Water and other urban infrastructure and services,Dual-use,Low,,,Technical assistance,USD,https://www.adb.org/projects/53212-001/main
27-Dec-2019,51139-005,"OLAM International Limited: Inclusive, Sustainable, and Connected Coffee Value Chain (Subproject 3)",INO; VIE; REG,Indonesia; Viet Nam; Regional,Southeast Asia,PSOD,OPSD,Nonsovereign,0.300,CDTA,Technical assistance,9930,Cofinancing (Syndicated/Contractual),Clean Energy Financing Partnership Facility (Canadian Climate Fund for the Private Sector in Asia),0.040,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Adaptation,,0.040,,Technical assistance,USD,https://www.adb.org/projects/51139-005/main
27-Dec-2019,51139-005,"OLAM International Limited: Inclusive, Sustainable, and Connected Coffee Value Chain (Subproject 3)",INO; VIE; REG,Indonesia; Viet Nam; Regional,Southeast Asia,PSOD,OPSD,Nonsovereign,,CDTA,Technical assistance,9930,ADB funds,TASF,0.260,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Adaptation,,,,Technical assistance,USD,https://www.adb.org/projects/51139-005/main
27-Dec-2019,51139-006,"OLAM International Limited: Inclusive, Sustainable, and Connected Coffee Value Chain (Subproject 4)",INO; PNG; REG,Indonesia; Papua New Guinea; Regional,Regional,PSOD,OPSD,Nonsovereign,0.750,CDTA,Technical assistance,9931,Cofinancing (Syndicated/Contractual),Clean Energy Financing Partnership Facility (Canadian Climate Fund for the Private Sector in Asia),0.100,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Adaptation,,0.100,,Technical assistance,USD,https://www.adb.org/projects/51139-005/main
27-Dec-2019,51139-006,"OLAM International Limited: Inclusive, Sustainable, and Connected Coffee Value Chain (Subproject 4)",INO; PNG; REG,Indonesia; Papua New Guinea; Regional,Regional,PSOD,OPSD,Nonsovereign,,CDTA,Technical assistance,9931,ADB funds,TASF,0.650,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Adaptation,,,,Technical assistance,USD,https://www.adb.org/projects/51139-005/main
24-Dec-2019,53434-001,Georgia Global Utilities: Preparing Geothermal Power Projects in West Georgia,GEO,Georgia,Central and West Asia,PSOD,PSIF1,Nonsovereign,0.225,RDTA,Technical assistance,9935,ADB funds,TASF,0.225,Energy,Energy,Mitigation,,,0.225,Technical assistance,USD,https://www.adb.org/projects/53434-001/main
29-Jan-2019,CCFADC00036,REG: Engaging adaptation consultants for operational support,REG,Regional,Regional,SDCC,,Sovereign,0.225,Direct charge,Other,CCFADC00036,ADB funds,Climate Change Fund,0.225,Multisector,Multisector,Adaptation,,0.225,,Direct charge,USD,
8-Feb-2019,CCFADC00037,MON (53028): Ulaanbaatar Air Quality Improvement Program (PBL) Phase 2,MON,Mongolia,East Asia,EARD,,Sovereign,0.148,Direct charge,Other,CCFADC00037,ADB funds,Climate Change Fund,0.148,Public sector management,Public sector management,Adaptation,,0.148,,Direct charge,USD,
20-Mar-2019,CCFADC00038,MON (50013): Sustainable Tourism Development Project,MON,Mongolia,East Asia,EARD,,Sovereign,0.063,Direct charge,Other,CCFADC00038,ADB funds,Climate Change Fund,0.063,Industry and trade,Industry and trade,Adaptation,,0.063,,Direct charge,USD,
10-Jun-2019,CCFADC00039,REG: Regional Consultation Workshop on Community Resilience Partnership Programme ,REG,Regional,Regional,SDCC,,Sovereign,0.115,Direct charge,Other,CCFADC00039,ADB funds,Climate Change Fund,0.115,Multisector,Multisector,Adaptation,,0.115,,Direct charge,USD,
26-Jun-2019,CCFADC00040,PRC: Shandong Jiaxiang Smart Water Sector Development Program  ,PRC,People's Republic of China,East Asia,EARD,,Sovereign,0.150,Direct charge,Other,CCFADC00040,ADB funds,Climate Change Fund,0.150,Water and other urban infrastructure and services,Water and other urban infrastructure and services,Adaptation,,0.150,,Direct charge,USD,
14-Aug-2019,CCFADC00041,PRC: Preparing a Climate Risk and Adaptation Options Assessment for Proposed PRC (53056-001): Jilin Songhia Lake Integrated Ecological and Environmental Improvement Project,PRC,People's Republic of China,East Asia,EARD,,Sovereign,0.180,Direct charge,Other,CCFADC00041,ADB funds,Climate Change Fund,0.180,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Adaptation,,0.180,,Direct charge,USD,
5-Sep-2019,CCFCDC00076,REG: Achieving Carbon Neutrality for the 2019 Annual Meeting of the Board of Governors of ADB in Fiji,FIJ,Fiji,Pacific,SDCC,,Sovereign,0.012,Direct charge,Other,CCFCDC00076,ADB funds,Climate Change Fund,0.012,Energy,Energy,Mitigation,,,0.012,Direct charge,USD,
15-Oct-2019,CCFCDC00077,REG: Climate Investment and Finance International Forum,REG (East Asia),Regional (East Asia),East Asia,SDCC,,Sovereign,0.050,Direct charge,Other,CCFCDC00077,ADB funds,Climate Change Fund,0.050,Energy,Energy,Mitigation,,,0.050,Direct charge,USD,
22-Oct-2019,CCFADC00042,PRC: Support in innovative financing and adaptative planning for urban climate resilience ,PRC,People's Republic of China,East Asia,EARD,,Sovereign,0.225,Direct charge,Other,CCFADC00042,ADB funds,Climate Change Fund,0.225,Finance,Finance,Adaptation,,0.225,,Direct charge,USD,
16-Dec-2019,CCFADC00043,INO: Adaptive Social Protection Specialist Consultancy,INO,Indonesia,Southeast Asia,SERD,,Sovereign,0.100,Direct charge,Other,CCFADC00043,ADB funds,Climate Change Fund,0.100,Public sector management,Public sector management,Adaptation,,0.100,,Direct charge,USD,
