Date Signed,Project Number,Project Name,Country Code,Developing Member Country,Region,Department,Operations Division,Category Type (Sovereign/Nonsovereign Financing),Project Financing Amount ($ million),Mode of Financial Assistance,Product Type,Loan/Grant/Investment/Approval Number,Project Financing Type,Fund Source,Signed amount ($ million),Primary Sector,Sector,Other Sector(s) Covered,Climate Change Response,Climate Change Impact on the Project,Adaptation Finance ($ million),Mitigation Finance ($ million),Type of Financing,Currency,Project URL,,,,,,,,,,,,,,
15-Dec-20,47181-004,Water Resources Management in the Pyanj River Basin Project (Second Additional Financing),TAJ,Tajikistan,Central and West Asia,CWRD,CWER,Sovereign,16.79,Project grant,Grant,0740,ADB funds,ADF,15,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",,Adaptation,High,3.8,,Investment,USD,https://www.adb.org/projects/47181-004/main,,,,,,,,,,,,,,
29-Dec-20,53315-001,Power Sector Development Program,TAJ,Tajikistan,Central and West Asia,CWRD,CWEN,Sovereign,145.2,SDP - Program grant,Grant,0778,ADB funds,ADF,85,Energy,Energy,,Mitigation,Low,,20,Investment,USD,https://www.adb.org/projects/53315-001/main,,,,,,,,,,,,,,
29-Dec-20,53315-001,Power Sector Development Program,TAJ,Tajikistan,Central and West Asia,CWRD,CWEN,Sovereign,,SDP - Program grant,Grant,0777,ADB funds,ADF,20,Energy,Energy,,Mitigation,Low,,,Investment,USD,https://www.adb.org/projects/53315-001/main,,,,,,,,,,,,,,
25-Dec-20,54005-001,Road Network Sustainability Project,TAJ,Tajikistan,Central and West Asia,CWRD,CWTC,Sovereign,72.93,Project grant,Grant,0752,ADB funds,ADF,67.49,Transport,Transport,,Adaptation,Medium,5.6,,Investment,USD,https://www.adb.org/projects/54005-001/main,,,,,,,,,,,,,,
10-Nov-20,54269-001,Power Sector Reform Program (Subprogram 1),UZB,Uzbekistan,Central and West Asia,CWRD,CWEN,Sovereign,368.84,Programmatic Approach Policy-Based Lending (Loan),Loan,3980,ADB funds,OCR,200,Energy,Energy,,Dual-use,Low,8.33,116.67,Investment,USD,https://www.adb.org/projects/54269-001/main,,,,,,,,,,,,,,
03-Dec-20,48414-006,Central Asia Regional Economic Cooperation Corridor 2 Karakalpakstan Road (A380 Kungrad to Daut-Ata Section) Project,UZB,Uzbekistan,Central and West Asia,CWRD,CWTC,Sovereign,383.4,Project loan,Loan,3965,ADB funds,OCR,248.2,Transport,Transport,,Adaptation,Medium,0.4,,Investment,USD,https://www.adb.org/projects/48414-006/main,,,,,,,,,,,,,,
03-Dec-20,48414-006,Central Asia Regional Economic Cooperation Corridor 2 Karakalpakstan Road (A380 Kungrad to Daut-Ata Section) Project,UZB,Uzbekistan,Central and West Asia,CWRD,CWTC,Sovereign,,Project loan,Loan,3963,ADB funds,Concessional OCR,26,Transport,Transport,,Adaptation,Medium,17,,Investment,USD,https://www.adb.org/projects/48414-006/main,,,,,,,,,,,,,,
21-Dec-20,51034-002,Sustainable Solid-Waste Management Project,UZB,Uzbekistan,Central and West Asia,CWRD,CWUW,Sovereign,112,Project loan,Loan,3903,ADB funds,OCR,60,Water and other urban infrastructure and services,Water and other urban infrastructure and services,,Mitigation,Low,,2.22,Investment,USD,https://www.adb.org/projects/51034-002/main,,,,,,,,,,,,,,
21-Dec-20,52025-001,Yunnan Sayu River Basin Rural Water Pollution Management and Eco-Compensation Demonstration Project,PRC,People's Republic of China,East Asia,EARD,EAER,Sovereign,234.612383,Project loan,Loan,3983,ADB funds,OCR,100,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",,Dual-use,Medium,9.720818,12.891305,Investment,USD,https://www.adb.org/projects/52025-001/main,,,,,,,,,,,,,,
18-Dec-20,53345-001,Bank of Xingtai Green Finance Development Project,PRC,People's Republic of China,East Asia,EARD,EAPF,Sovereign,795.036,Development financing institution,Loan,3999,ADB funds,OCR,206.58395208,Finance,Finance,,Mitigation,Low,,63.52288,Investment,USD,https://www.adb.org/projects/53345-001/main,,,,,,,,,,,,,,
16-Dec-20,52230-001,Xiangtan Low-Carbon Transformation Sector Development Program,PRC,People's Republic of China,East Asia,EARD,EASI,Sovereign,395.88,Program loan,Loan,3987,ADB funds,OCR,150,Energy,Water and other urban infrastructure and services,Energy; Information and communication technology; Public sector management; Transport,Dual-use,Medium,2.6,9.51,Investment,USD,https://www.adb.org/projects/52230-001/main,,,,,,,,,,,,,,
16-Dec-20,52230-001,Xiangtan Low-Carbon Transformation Sector Development Program,PRC,People's Republic of China,East Asia,EARD,EASI,Sovereign,,Program loan,Loan,3987,ADB funds,OCR,,Energy,Information and communication technology,Energy; Public sector management; Transport; Water and other urban infrastructure and services,Dual-use,Medium,3.23,7.07,Investment,USD,https://www.adb.org/projects/52230-001/main,,,,,,,,,,,,,,
16-Dec-20,52230-001,Xiangtan Low-Carbon Transformation Sector Development Program,PRC,People's Republic of China,East Asia,EARD,EASI,Sovereign,,Program loan,Loan,3987,ADB funds,OCR,,Energy,Transport,Energy; Information and communication technology; Public sector management; Water and other urban infrastructure and services,Dual-use,Medium,6.21,38.54,Investment,USD,https://www.adb.org/projects/52230-001/main,,,,,,,,,,,,,,
16-Dec-20,52230-001,Xiangtan Low-Carbon Transformation Sector Development Program,PRC,People's Republic of China,East Asia,EARD,EASI,Sovereign,,Program loan,Loan,3987,ADB funds,OCR,,Energy,Energy,Information and communication technology; Public sector management; Transport; Water and other urban infrastructure and services,Dual-use,Medium,,28.75,Investment,USD,https://www.adb.org/projects/52230-001/main,,,,,,,,,,,,,,
16-Dec-20,52230-001,Xiangtan Low-Carbon Transformation Sector Development Program,PRC,People's Republic of China,East Asia,EARD,EASI,Sovereign,,Program loan,Loan,3988,ADB funds,OCR,50,Energy,Energy,Information and communication technology; Public sector management; Transport; Water and other urban infrastructure and services,Dual-use,Medium,,,Investment,USD,https://www.adb.org/projects/52230-001/main,,,,,,,,,,,,,,
10-Dec-20,51192-002,Inner Mongolia Sustainable Cross-Border Development Investment Program - Tranche 1,PRC,People's Republic of China,East Asia,EARD,EAPF,Sovereign,406.85,MFF-Tranche (Loan),Loan,4012,ADB funds,OCR,201.64512879,Industry and trade,Industry and trade,,Dual-use,Medium,21.6,8.96,Investment,USD,https://www.adb.org/projects/51192-002/main,,,,,,,,,,,,,,
03-Aug-20,50222-002,Chongqing Innovation and Human Capital Development Project,PRC,People's Republic of China,East Asia,EARD,EASS,Sovereign,451.48,Project loan,Loan,3897,ADB funds,OCR,212.35376454,Education,Education,Industry and trade; Public sector management,Dual-use,Medium,2.56,1.85,Investment,USD,https://www.adb.org/projects/50222-002/main,,,,,,,,,,,,,,
03-Aug-20,50222-002,Chongqing Innovation and Human Capital Development Project,PRC,People's Republic of China,East Asia,EARD,EASS,Sovereign,,Project loan,Loan,3897,ADB funds,OCR,,Education,Industry and trade,Education; Public sector management,Dual-use,Medium,1.22,2.15,Investment,USD,https://www.adb.org/projects/50222-002/main,,,,,,,,,,,,,,
03-Aug-20,50222-002,Chongqing Innovation and Human Capital Development Project,PRC,People's Republic of China,East Asia,EARD,EASS,Sovereign,,Project loan,Loan,3897,ADB funds,OCR,,Education,Public sector management,Education; Industry and trade,Dual-use,Medium,0.69,1.22,Investment,USD,https://www.adb.org/projects/50222-002/main,,,,,,,,,,,,,,
30-Nov-20,51434-001,Jiangxi Shangrao Early Childhood Education Demonstration Program,PRC,People's Republic of China,East Asia,EARD,EASS,Sovereign,750.8,Results Based Lending,Loan,3991,ADB funds,OCR,100,Education,Education,Information and communication technology,Dual-use,Low,0.16,0.08,Investment,USD,https://www.adb.org/projects/51434-001/main,,,,,,,,,,,,,,
19-May-20,50278-002,Community Vegetable Farming for Livelihood Improvement - Additional Financing,MON,Mongolia,East Asia,EARD,EAER,Sovereign,0.5,Grant projects,Grant,0684,Cofinancing (Syndicated/Contractual),High Level Technology Fund,0.5,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",,Adaptation,Low,0.1,,Investment,USD,https://www.adb.org/projects/50278-002/main,,,,,,,,,,,,,,
