Date Signed,Project Number,Project Name,Country Code,Developing Member Country,Region,Department,Operations Division,Category Type (Sovereign/Nonsovereign Financing),Project Financing Amount ($ million),Mode of Financial Assistance,Product Type,Loan/Grant/Investment/Approval Number,Project Financing Type,Fund Source,Signed amount ($ million),Primary Sector,Sector,Other Sector(s) Covered,Climate Change Response,Climate Change Impact on the Project,Adaptation Finance ($ million),Mitigation Finance ($ million),Type of Financing,Currency,Project URL,,,,,,,,,,,,,,
15-Dec-20,54068-001,Support to Climate Resilient Investment Pathways in the Pacific,REG; COO; FIJ,Regional; Cook Islands; Fiji,Pacific,PARD,PAEN,Sovereign,2,KSTA,Technical assistance,6683,ADB funds,Climate Change Fund,1,Public sector management,Public sector management,Energy; Transport,Adaptation,Low,0.2,,Technical Assistance,USD,https://www.adb.org/projects/54068-001/main,,,,,,,,,,,,,,
15-Dec-20,54068-001,Support to Climate Resilient Investment Pathways in the Pacific,REG; COO; FIJ,Regional; Cook Islands; Fiji,Pacific,PARD,PAEN,Sovereign,,KSTA,Technical assistance,6683,ADB funds,Climate Change Fund,,Public sector management,Energy,Public sector management; Transport,Adaptation,Low,0.2,,Technical Assistance,USD,https://www.adb.org/projects/54068-001/main,,,,,,,,,,,,,,
15-Dec-20,54068-001,Support to Climate Resilient Investment Pathways in the Pacific,REG; COO; FIJ,Regional; Cook Islands; Fiji,Pacific,PARD,PAEN,Sovereign,,KSTA,Technical assistance,6683,ADB funds,Climate Change Fund,,Public sector management,Transport,Public sector management; Energy,Adaptation,Low,0.2,,Technical Assistance,USD,https://www.adb.org/projects/54068-001/main,,,,,,,,,,,,,,
15-Dec-20,54068-001,Support to Climate Resilient Investment Pathways in the Pacific,REG; COO; FIJ,Regional; Cook Islands; Fiji,Pacific,PARD,PAEN,Sovereign,,KSTA,Technical assistance,6683,ADB funds,TASF,1,Public sector management,Public sector management,Energy; Transport,Adaptation,Low,0.2,,Technical Assistance,USD,https://www.adb.org/projects/54068-001/main,,,,,,,,,,,,,,
15-Dec-20,54068-001,Support to Climate Resilient Investment Pathways in the Pacific,REG; COO; FIJ,Regional; Cook Islands; Fiji,Pacific,PARD,PAEN,Sovereign,,KSTA,Technical assistance,6683,ADB funds,TASF,,Public sector management,Energy,Public sector management; Transport,Adaptation,Low,0.2,,Technical Assistance,USD,https://www.adb.org/projects/54068-001/main,,,,,,,,,,,,,,
15-Dec-20,54068-001,Support to Climate Resilient Investment Pathways in the Pacific,REG; COO; FIJ,Regional; Cook Islands; Fiji,Pacific,PARD,PAEN,Sovereign,,KSTA,Technical assistance,6683,ADB funds,TASF,,Public sector management,Transport,Public sector management; Energy,Adaptation,Low,0.2,,Technical Assistance,USD,https://www.adb.org/projects/54068-001/main,,,,,,,,,,,,,,
18-Dec-20,54049-001,Development of a Legal Framework and Documentation Conducive to Viable Private Sector Renewable Energy and Energy Efficiency Projects,BHU; INO; REG,Bhutan; Indonesia; Regional,Regional,OGC,OGC,Sovereign,0.5,KSTA,Technical assistance,6689,ADB funds,TASF,0.5,Energy,Energy,,Mitigation,Low,,0.5,Technical Assistance,USD,https://www.adb.org/projects/54049-001/main,,,,,,,,,,,,,,
06-Feb-20,50178-001,Legal Readiness for Climate Finance and Climate Investments,REG,Regional,Regional,OGC,OGC,Sovereign,0.393,CDTA,Technical assistance,9159,ADB funds,TASF,0.293,Public sector management,Public sector management,,Dual-use,Low,0.1465,0.1465,Technical Assistance,USD,https://www.adb.org/projects/50178-001/main,,,,,,,,,,,,,,
06-Feb-20,50178-001,Legal Readiness for Climate Finance and Climate Investments,REG,Regional,Regional,OGC,OGC,Sovereign,,CDTA,Technical assistance,9159,Cofinancing (Syndicated/Contractual),Integrated Disaster Risk Management Fund,0.1,Public sector management,Public sector management,,Dual-use,Low,0.1,,Technical Assistance,USD,https://www.adb.org/projects/50178-001/main,,,,,,,,,,,,,,
28-Jul-20,50177-001,Developing Judicial Capacity for Adjudicating Climate Change and Sustainable Development Issues,REG,Regional,Regional,OGC,OGC,Sovereign,,CDTA,Technical assistance,9279,ADB funds,TASF,0.08,Public sector management,Public sector management,,Dual-use,Low,0.04,0.04,Technical Assistance,USD,https://www.adb.org/projects/50177-001/main,,,,,,,,,,,,,,
10-Sep-20,50236-001,Sustainable Rural Infrastructure and Watershed Management Sector Project,LAO,Lao People's Democratic Republic,Southeast Asia,SERD,SEER,Sovereign,,TRTA,Technical assistance,9323,Cofinancing (Syndicated/Contractual),Netherlands Trust Fund under the Water Financing Partnership Facility ,0.5,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",,Adaptation,Medium,,,Technical Assistance,USD,https://www.adb.org/projects/50236-001/main,,,,,,,,,,,,,,
14-Dec-20,50236-001,Sustainable Rural Infrastructure and Watershed Management Sector Project,LAO,Lao People's Democratic Republic,Southeast Asia,SERD,SEER,Sovereign,,TRTA,Technical assistance,9323,ADB funds,Climate Change Fund,1,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",,Adaptation,Medium,1,,Technical Assistance,USD,https://www.adb.org/projects/50236-001/main,,,,,,,,,,,,,,
09-Jul-20,50373-002,Implementation Support to the Rooftop Solar Power Generation Project [attached TA to Rooftop Solar Power Generation Project],SRI,Sri Lanka,South Asia,SARD,SAEN; SAPF; SLRM,Sovereign,,TRTA,Technical assistance,9389,Cofinancing (Syndicated/Contractual),Clean Energy Financing Partnership Facility (Clean Energy Fund),0.25,Energy,Energy,,Mitigation,Low,,0.25,Technical Assistance,USD,https://www.adb.org/projects/50373-002/main,,,,,,,,,,,,,,
24-Nov-20,50121-001,Supporting Adaptation Decision Making for Climate Resilient Investments,REG,Regional,Regional,SDCC,SDCD,Sovereign,0.75,KSTA,Technical assistance,9414,Cofinancing (Syndicated/Contractual),Austria,0.75,Water and other urban infrastructure and services,Water and other urban infrastructure and services,"Agriculture, natural resources and rural development; Energy; Transport",Adaptation,Low,0.1875,,Technical Assistance,USD,https://www.adb.org/projects/50121-001/main,,,,,,,,,,,,,,
24-Nov-20,50121-001,Supporting Adaptation Decision Making for Climate Resilient Investments,REG,Regional,Regional,SDCC,SDCD,Sovereign,,KSTA,Technical assistance,9414,Cofinancing (Syndicated/Contractual),Austria,,Water and other urban infrastructure and services,"Agriculture, natural resources and rural development",Energy; Transport; Water and other urban infrastructure and services,Adaptation,Low,0.1875,,Technical Assistance,USD,https://www.adb.org/projects/50121-001/main,,,,,,,,,,,,,,
24-Nov-20,50121-001,Supporting Adaptation Decision Making for Climate Resilient Investments,REG,Regional,Regional,SDCC,SDCD,Sovereign,,KSTA,Technical assistance,9414,Cofinancing (Syndicated/Contractual),Austria,,Water and other urban infrastructure and services,Energy,"Agriculture, natural resources and rural development; Transport; Water and other urban infrastructure and services",Adaptation,Low,0.1875,,Technical Assistance,USD,https://www.adb.org/projects/50121-001/main,,,,,,,,,,,,,,
24-Nov-20,50121-001,Supporting Adaptation Decision Making for Climate Resilient Investments,REG,Regional,Regional,SDCC,SDCD,Sovereign,,KSTA,Technical assistance,9414,Cofinancing (Syndicated/Contractual),Austria,,Water and other urban infrastructure and services,Transport,"Agriculture, natural resources and rural development; Energy; Water and other urban infrastructure and services",Adaptation,Low,0.1875,,Technical Assistance,USD,https://www.adb.org/projects/50121-001/main,,,,,,,,,,,,,,
13-Apr-20,49450-010,Capacity Building and Sector Reform for Renewable Energy Investments in the Pacific,REG (Pacific),Regional (Pacific),Pacific,PARD,PAEN,Sovereign,0.8,TRTA,Technical assistance,9425,ADB funds,TASF,0.8,Energy,Energy,,Mitigation,Low,,0.8,Technical Assistance,USD,https://www.adb.org/projects/49450-010/main,,,,,,,,,,,,,,
27-Mar-20,51044-001,Supporting Project Preparation,PRC,People's Republic of China,East Asia,EARD,PRCM,Sovereign,0.2,TRTA,Technical assistance,9437,ADB funds,TASF,0.2,Health,Transport,Education; Finance; Health; Industry and trade; Water and other urban infrastructure and services,Dual-use,High,0.15,0.05,Technical Assistance,USD,https://www.adb.org/projects/51044-001/main,,,,,,,,,,,,,,
28-Feb-20,50159-001,Protecting and Investing in Natural Capital in Asia and the Pacific,BHU; PRC; INO; NEP; PHI; PAK; CAM; VIE; REG,Bhutan; People's Republic of China; Indonesia; Nepal; Philippines; Pakistan; Cambodia; Viet Nam; Regional,Regional,SDCC,SDSS,Sovereign,,KSTA,Technical assistance,9461,ADB funds,Climate Change Fund,0.8,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Water and other urban infrastructure and services,Dual-use,Low,0.4,0.4,Technical Assistance,USD,https://www.adb.org/projects/50159-001/main,,,,,,,,,,,,,,
28-Feb-20,50159-001,Protecting and Investing in Natural Capital in Asia and the Pacific,BHU; PRC; INO; NEP; PHI; PAK; CAM; VIE; REG,Bhutan; People's Republic of China; Indonesia; Nepal; Philippines; Pakistan; Cambodia; Viet Nam; Regional,Regional,SDCC,SDSS,Sovereign,,KSTA,Technical assistance,9461,Cofinancing (Syndicated/Contractual),Republic of Korea e-Asia and Knowledge Partnership Fund,0.5,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Water and other urban infrastructure and services,Dual-use,Low,,0.5,Technical Assistance,USD,https://www.adb.org/projects/50159-001/main,,,,,,,,,,,,,,
07-Sep-20,50028-001,Pacific Disaster Resilience Program,SAM; TON; TUV; REG,Samoa; Tonga; Tuvalu; Regional,Regional,PARD,PASP,Sovereign,,TRTA,Technical assistance,9464,Cofinancing (Syndicated/Contractual),Ireland Trust Fund for Building Climate Change and Disaster Resilience in Small Island Developing States,1,Public sector management,Public sector management,,Adaptation,Low,0.3,,Technical Assistance,USD,https://www.adb.org/projects/50028-001/main,,,,,,,,,,,,,,
14-Sep-20,52096-001,"Southeast Asia Energy Sector Development, Investment Planning and Capacity Building Facility",REG (Southeast Asia),"Regional (Cambodia, Indonesia, Myanmar, Philippines, Viet Nam)",Southeast Asia,SERD,SEEN,Sovereign,,TRTA,Technical assistance,9600,Cofinancing (Syndicated/Contractual),Clean Energy Financing Partnership Facility (Clean Energy Fund),0.75,Energy,Energy,,Mitigation,Low,,0.75,Technical Assistance,USD,https://www.adb.org/projects/52096-001/main,,,,,,,,,,,,,,
11-Jun-20,52014-001,Strengthening Integrated Flood Risk Management,"REG (BAN; IND; INO, MYA; NEP; PAK; PHI; VIE)",Regional (Bangladesh; India; Indonesia; Myanmar; Nepal; Pakistan; Philippines; Viet Nam),Regional,SDCC,SDSC-WAT,Sovereign,,KSTA,Technical assistance,9634,ADB funds,TASF,0.075,Water and other urban infrastructure and services,Water and other urban infrastructure and services,,Dual-use,Low,0.0675,0.0075,Technical Assistance,USD,https://www.adb.org/projects/52014-001/main,,,,,,,,,,,,,,
11-Jun-20,52014-001,Strengthening Integrated Flood Risk Management,"REG (BAN; IND; INO, MYA; NEP; PAK; PHI; VIE)",Regional (Bangladesh; India; Indonesia; Myanmar; Nepal; Pakistan; Philippines; Viet Nam),Regional,SDCC,SDSC-WAT,Sovereign,,KSTA,Technical assistance,9634,Cofinancing (Syndicated/Contractual),High Level Technology Fund,0.06,Water and other urban infrastructure and services,Water and other urban infrastructure and services,,Dual-use,Low,,,Technical Assistance,USD,https://www.adb.org/projects/52014-001/main,,,,,,,,,,,,,,
02-Dec-20,52214-001,Promoting Transformative Gender Equality Agenda in Asia and the Pacific,REG,Regional,Regional,SDCC,SDTC-GEN,Sovereign,,KSTA,Technical assistance,9660,ADB funds,TASF,0.2,Public sector management,Public sector management,Finance,Adaptation,Low,,,Technical Assistance,USD,https://www.adb.org/projects/52214-001/main,,,,,,,,,,,,,,
09-Jul-20,52214-001,Promoting Transformative Gender Equality Agenda in Asia and the Pacific,REG,Regional,Regional,SDCC,SDTC-GEN,Sovereign,,KSTA,Technical assistance,9660,Cofinancing (Syndicated/Contractual),Urban Climate Change Resilience Trust Fund,0.735,Public sector management,Public sector management,Finance,Adaptation,Low,0.368,,Technical Assistance,USD,https://www.adb.org/projects/52214-001/main,,,,,,,,,,,,,,
09-Jul-20,52214-001,Promoting Transformative Gender Equality Agenda in Asia and the Pacific,REG,Regional,Regional,SDCC,SDTC-GEN,Sovereign,,KSTA,Technical assistance,9660,Cofinancing (Syndicated/Contractual),Urban Climate Change Resilience Trust Fund,,Public sector management,Finance,Public sector management,Adaptation,Low,0.3675,,Technical Assistance,USD,https://www.adb.org/projects/52214-001/main,,,,,,,,,,,,,,
02-Dec-20,52214-001,Promoting Transformative Gender Equality Agenda in Asia and the Pacific,REG,Regional,Regional,SDCC,SDTC-GEN,Sovereign,,KSTA,Technical assistance,9660,Cofinancing (Syndicated/Contractual),Gender and Development Cooperation Fund,0.10921507,Public sector management,Public sector management,Finance,Adaptation,Low,,,Technical Assistance,USD,https://www.adb.org/projects/52214-001/main,,,,,,,,,,,,,,
09-Dec-20,50404-001,Establishing a Support Facility for Article 6 of the Paris Agreement,REG,Regional,Regional,SDCC,SDCD,Sovereign,,KSTA,Technical assistance,9695,Cofinancing (Syndicated/Contractual),Swedish Energy Agency,1,Energy,Energy,Water and other urban infrastructure and services,Mitigation,Low,,0.8,Technical Assistance,USD,https://www.adb.org/projects/50404-001/main,,,,,,,,,,,,,,
09-Dec-20,50404-001,Establishing a Support Facility for Article 6 of the Paris Agreement,REG,Regional,Regional,SDCC,SDCD,Sovereign,,KSTA,Technical assistance,9695,Cofinancing (Syndicated/Contractual),Swedish Energy Agency,,Energy,Water and other urban infrastructure and services,Energy,Mitigation,Low,,0.2,Technical Assistance,USD,https://www.adb.org/projects/50404-001/main,,,,,,,,,,,,,,
29-Jun-20,53071-001,"Southeast Asia Public Management, Financial Sector, and Trade Policy Facility",REG; INO; LAO; PHI; CAM; MYA; VIE,Regional; Indonesia; Lao People's Democratic Republic; Philippines; Cambodia; Myanmar; Viet Nam,Southeast Asia,SERD,SEPF,Sovereign,,TRTA,Technical assistance,9766,ADB funds,TASF,2,Finance,Finance,,Adaptation,Low,,,Technical Assistance,USD,https://www.adb.org/projects/53071-001/main,,,,,,,,,,,,,,
10-Dec-20,53071-001,"Southeast Asia Public Management, Financial Sector, and Trade Policy Facility",REG; INO; LAO; PHI; CAM; MYA; VIE,Regional; Indonesia; Lao People's Democratic Republic; Philippines; Cambodia; Myanmar; Viet Nam,Southeast Asia,SERD,SEPF,Sovereign,,TRTA,Technical assistance,9766,Cofinancing (Syndicated/Contractual),Asia Pacific Climate Finance Fund,2.5,Finance,Finance,,Adaptation,Low,2.5,,Technical Assistance,USD,https://www.adb.org/projects/53071-001/main,,,,,,,,,,,,,,
17-Aug-20,46470-003,Sustaining Climate and Disaster Risk Resilient and Low Carbon Development in South Asia,REG (South Asia),Regional (South Asia),South Asia,SARD,SAOD,Sovereign,,TRTA,Technical assistance,9700,ADB funds,TASF,0.1,Energy,"Agriculture, natural resources and rural development",Energy; Transport; Water and other urban infrastructure and services,Dual-use,Low,0.010526,0.007018,Technical Assistance,USD,https://www.adb.org/projects/46470-003/main,,,,,,,,,,,,,,
17-Aug-20,46470-003,Sustaining Climate and Disaster Risk Resilient and Low Carbon Development in South Asia,REG (South Asia),Regional (South Asia),South Asia,SARD,SAOD,Sovereign,,TRTA,Technical assistance,9700,ADB funds,TASF,,Energy,Energy,"Agriculture, natural resources and rural development; Transport; Water and other urban infrastructure and services",Dual-use,Low,0.014035,0.015789,Technical Assistance,USD,https://www.adb.org/projects/46470-003/main,,,,,,,,,,,,,,
17-Aug-20,46470-003,Sustaining Climate and Disaster Risk Resilient and Low Carbon Development in South Asia,REG (South Asia),Regional (South Asia),South Asia,SARD,SAOD,Sovereign,,TRTA,Technical assistance,9700,ADB funds,TASF,,Energy,Transport,"Agriculture, natural resources and rural development; Energy; Water and other urban infrastructure and services",Dual-use,Low,0.019298,0.007018,Technical Assistance,USD,https://www.adb.org/projects/46470-003/main,,,,,,,,,,,,,,
17-Aug-20,46470-003,Sustaining Climate and Disaster Risk Resilient and Low Carbon Development in South Asia,REG (South Asia),Regional (South Asia),South Asia,SARD,SAOD,Sovereign,,TRTA,Technical assistance,9700,ADB funds,TASF,,Energy,Water and other urban infrastructure and services,"Agriculture, natural resources and rural development; Energy; Transport",Dual-use,Low,0.018,0.009,Technical Assistance,USD,https://www.adb.org/projects/46470-003/main,,,,,,,,,,,,,,
24-Mar-20,53142-001,Scoping of Community Resilience Partnership Program,REG,Regional,Regional,SDCC,SDCD,Sovereign,0.15,KSTA,Technical assistance,9728,Cofinancing (Syndicated/Contractual),Integrated Disaster Risk Management Fund,0.15,Public sector management,Public sector management,,Adaptation,Low,0.15,,Technical Assistance,USD,https://www.adb.org/projects/53142-001/main,,,,,,,,,,,,,,
24-Aug-20,53103-001,Pacific Region Infrastructure Facility Coordination Office-Leveraging Infrastructure for Sustainable Development,COO; FSM; FIJ; KIR; RMI; NAU;  NIU; PAL; SOL; SAM; TON; TUV; VAN; REG,Cook Islands; Federated States of Micronesia; Fiji; Kiribati; Marshall Islands; Nauru;  Niue; Palau; Solomon Islands; Samoa; Tonga; Tuvalu; Vanuatu; Regional,Pacific,PARD,PLCO,Sovereign,,KSTA,Technical assistance,9819,Cofinancing (Syndicated/Contractual),New Zealand Cooperation for Technical Assistance,1.44731214,Transport,Transport,,Dual-use,Low,,,Technical Assistance,USD,https://www.adb.org/projects/53103-001/main,,,,,,,,,,,,,,
24-Aug-20,53103-001,Pacific Region Infrastructure Facility Coordination Office-Leveraging Infrastructure for Sustainable Development,COO; FSM; FIJ; KIR; RMI; NAU;  NIU; PAL; SOL; SAM; TON; TUV; VAN; REG,Cook Islands; Federated States of Micronesia; Fiji; Kiribati; Marshall Islands; Nauru;  Niue; Palau; Solomon Islands; Samoa; Tonga; Tuvalu; Vanuatu; Regional,Pacific,PARD,PLCO,Sovereign,,KSTA,Technical assistance,9819,Cofinancing (Syndicated/Contractual),United States Department of State,2,Transport,Transport,,Dual-use,Low,0.0175,0.0175,Technical Assistance,USD,https://www.adb.org/projects/53103-001/main,,,,,,,,,,,,,,
24-Aug-20,53103-001,Pacific Region Infrastructure Facility Coordination Office-Leveraging Infrastructure for Sustainable Development,COO; FSM; FIJ; KIR; RMI; NAU;  NIU; PAL; SOL; SAM; TON; TUV; VAN; REG,Cook Islands; Federated States of Micronesia; Fiji; Kiribati; Marshall Islands; Nauru;  Niue; Palau; Solomon Islands; Samoa; Tonga; Tuvalu; Vanuatu; Regional,Pacific,PARD,PLCO,Sovereign,,KSTA,Technical assistance,9819,Cofinancing (Syndicated/Contractual),United States Department of State,,Transport,Energy,,Dual-use,Low,0.015,0.015,Technical Assistance,USD,https://www.adb.org/projects/53103-001/main,,,,,,,,,,,,,,
24-Aug-20,53103-001,Pacific Region Infrastructure Facility Coordination Office-Leveraging Infrastructure for Sustainable Development,COO; FSM; FIJ; KIR; RMI; NAU;  NIU; PAL; SOL; SAM; TON; TUV; VAN; REG,Cook Islands; Federated States of Micronesia; Fiji; Kiribati; Marshall Islands; Nauru;  Niue; Palau; Solomon Islands; Samoa; Tonga; Tuvalu; Vanuatu; Regional,Pacific,PARD,PLCO,Sovereign,,KSTA,Technical assistance,9819,Cofinancing (Syndicated/Contractual),United States Department of State,,Transport,Information and communication technology,,Dual-use,Low,0.005,0.005,Technical Assistance,USD,https://www.adb.org/projects/53103-001/main,,,,,,,,,,,,,,
24-Aug-20,53103-001,Pacific Region Infrastructure Facility Coordination Office-Leveraging Infrastructure for Sustainable Development,COO; FSM; FIJ; KIR; RMI; NAU;  NIU; PAL; SOL; SAM; TON; TUV; VAN; REG,Cook Islands; Federated States of Micronesia; Fiji; Kiribati; Marshall Islands; Nauru;  Niue; Palau; Solomon Islands; Samoa; Tonga; Tuvalu; Vanuatu; Regional,Pacific,PARD,PLCO,Sovereign,,KSTA,Technical assistance,9819,Cofinancing (Syndicated/Contractual),United States Department of State,,Transport,Water and other urban infrastructure and services,,Dual-use,Low,0.0125,0.0125,Technical Assistance,USD,https://www.adb.org/projects/53103-001/main,,,,,,,,,,,,,,
25-Mar-20,53391-001,Greater Mekong Sustainable Agriculture and Food Security Program,CAM; LAO; MYA; PRC; THA; VIE; REG,Cambodia; Lao People's Democratic Republic; Myanmar; People's Republic of China; Thailand; Viet Nam; Regional,Regional,SERD,SEER,Sovereign,,KSTA,Technical assistance,9916,Cofinancing (Syndicated/Contractual),People's Republic of China Poverty Reduction and Regional Cooperation Fund,0.75,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",,Dual-use,Low,0.2,,Technical Assistance,USD,https://www.adb.org/projects/53391-001/main,,,,,,,,,,,,,,
20-Oct-20,53391-001,Greater Mekong Sustainable Agriculture and Food Security Program,CAM; LAO; MYA; PRC; THA; VIE; REG,Cambodia; Lao People's Democratic Republic; Myanmar; People's Republic of China; Thailand; Viet Nam; Regional,Regional,SERD,SEER,Sovereign,,KSTA,Technical assistance,9916,ADB funds,Regional Cooperation and Integration Fund,1,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",,Dual-use,Low,0.25,0.15,Technical Assistance,USD,https://www.adb.org/projects/53391-001/main,,,,,,,,,,,,,,
11-Feb-20,52240-002,Supporting Renewable Energy Development,MON,Mongolia,East Asia,EARD,EASI,Sovereign,1.3,TRTA,Technical assistance,9941,Cofinancing (Syndicated/Contractual),Clean Energy Financing Partnership Facility (Asian Clean Energy Fund),1.3,Energy,Energy,,Dual-use,Medium,0.03,1,Technical Assistance,USD,https://www.adb.org/projects/52240-002/main,,,,,,,,,,,,,,
04-Feb-20,53124-001,Understanding Disaster Displacement in Asia and the Pacific,REG,Regional,Regional,SDCC,SDCD,Sovereign,0.6,KSTA,Technical assistance,9944,ADB funds,TASF,0.6,Public sector management,Public sector management,,Adaptation,Low,0.3,,Technical Assistance,USD,https://www.adb.org/projects/53124-001/main,,,,,,,,,,,,,,
03-Feb-20,54055-001,ADB Ventures Technical Assistance,REG,Regional,Regional,PSOD,OPSD,Nonsovereign,,KSTA,Technical assistance,9948,Cofinancing (Syndicated/Contractual),Climate Investment Funds (Clean Technology Fund),3,Information and communication technology,Information and communication technology,,Dual-use,Choose climate change impact on the Project,,3,Technical Assistance,USD,https://www.adb.org/projects/54055-001/main,,,,,,,,,,,,,,
29-Sep-20,54055-001,ADB Ventures Technical Assistance,REG,Regional,Regional,PSOD,OPSD,Nonsovereign,,KSTA,Technical assistance,9948,Cofinancing (Syndicated/Contractual),Asia Pacific Climate Finance Fund,1.4,Information and communication technology,Information and communication technology,,Dual-use,Choose climate change impact on the Project,1.4,,Technical Assistance,USD,https://www.adb.org/projects/54055-001/main,,,,,,,,,,,,,,
12-Feb-20,53398-002,Herat Wind,AFG,Afghanistan,Central and West Asia,PSOD,PSIF1,Nonsovereign,0.225,TRTA,Technical assistance,9949,Cofinancing (Syndicated/Contractual),Clean Energy Financing Partnership Facility (Canadian Climate Fund for the Private Sector in Asia),0.225,Energy,Energy,,Mitigation,Medium,,0.225,Technical Assistance,USD,https://www.adb.org/projects/53398-002/main,,,,,,,,,,,,,,
09-Mar-20,52251-001,Building Disaster-Resilient Infrastructure through Enhanced Knowledge,REG; ARM; FIJ; CAM; SRI,Regional; Armenia; Fiji; Cambodia; Sri Lanka,Regional,SDCC,SDCD,Sovereign,2,KSTA,Technical assistance,9955,Cofinancing (Syndicated/Contractual),Japan Fund for Poverty Reduction,2,Public sector management,Public sector management,,Adaptation,Low,0.667,,Technical Assistance,USD,https://www.adb.org/projects/52251-001/main,,,,,,,,,,,,,,
20-Nov-20,53383-002,Gender Capacity Enhancement in Poultry,IND,India,South Asia,PSOD,OPSD,Nonsovereign,,TRTA,Technical assistance,9959,Cofinancing (Syndicated/Contractual),Climate Investment Funds (Strategic Climate Fund-Pilot Program for Climate Relience),0.2,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",,Adaptation,Choose climate change impact on the Project,0.2,,Technical Assistance,USD,https://www.adb.org/projects/53383-002/main,,,,,,,,,,,,,,
01-Apr-20,52041-004,Pilot Testing of Innovative Energy Technologies and Business Models,REG,Regional,Regional,SDCC,SDSC-ENE,Sovereign,1.9,KSTA,Technical assistance,9960,ADB funds,Climate Change Fund,0.3,Energy,Energy,Water and other urban infrastructure and services,Dual-use,Low,0.1,0.2,Technical Assistance,USD,https://www.adb.org/projects/52041-004/main,,,,,,,,,,,,,,
01-Apr-20,52041-004,Pilot Testing of Innovative Energy Technologies and Business Models,REG,Regional,Regional,SDCC,SDSC-ENE,Sovereign,,KSTA,Technical assistance,9960,Cofinancing (Syndicated/Contractual),Urban Climate Change Resilience Trust Fund,0.45,Energy,Water and other urban infrastructure and services,Energy,Dual-use,Low,0.04,0.41,Technical Assistance,USD,https://www.adb.org/projects/52041-004/main,,,,,,,,,,,,,,
01-Apr-20,52041-004,Pilot Testing of Innovative Energy Technologies and Business Models,REG,Regional,Regional,SDCC,SDSC-ENE,Sovereign,,KSTA,Technical assistance,9960,Cofinancing (Syndicated/Contractual),Clean Energy Financing Partnership Facility (Clean Energy Fund),0.6,Energy,Energy,Water and other urban infrastructure and services,Dual-use,Low,0.02,0.58,Technical Assistance,USD,https://www.adb.org/projects/52041-004/main,,,,,,,,,,,,,,
01-Apr-20,52041-004,Pilot Testing of Innovative Energy Technologies and Business Models,REG,Regional,Regional,SDCC,SDSC-ENE,Sovereign,,KSTA,Technical assistance,9960,Cofinancing (Syndicated/Contractual),Climate Investment Funds (Clean Technology Fund),0.4,Energy,Energy,water and other urban infrastructure and services,Dual-use,Low,0.04,0.36,Technical Assistance,USD,https://www.adb.org/projects/52041-004/main,,,,,,,,,,,,,,
01-Apr-20,52041-004,Pilot Testing of Innovative Energy Technologies and Business Models,REG,Regional,Regional,SDCC,SDSC-ENE,Sovereign,,KSTA,Technical assistance,9960,Cofinancing (Syndicated/Contractual),Republic of Korea e-Asia and Knowledge Partnership Fund,0.15,Energy,Energy,Water and other urban infrastructure and services,Dual-use,Low,,0.15,Technical Assistance,USD,https://www.adb.org/projects/52041-004/main,,,,,,,,,,,,,,
12-Nov-20,54108-001,Sustainable and Resilient Energy Sector Facility in Bangladesh,BAN,Bangladesh,South Asia,SARD,SAEN,Sovereign,1,TRTA,Technical assistance,9961,ADB funds,TASF,1,Energy,Energy,Finance; Industry and trade,Mitigation,Low,,0.4,Technical Assistance,USD,https://www.adb.org/projects/54108-001/main,,,,,,,,,,,,,,
29-Apr-20,53182-001,Preparing Projects to Enhance Transport Connectivity and Resilience in the Pacific,REG; FIJ; COO,Regional; Fiji; Cook Islands,Pacific,PARD,PATC,Sovereign,3.2,TRTA,Technical assistance,9968,ADB funds,TASF,2,Transport,Transport,,Dual-use,Low,0.75,0.25,Technical Assistance,USD,https://www.adb.org/projects/53182-001/main,,,,,,,,,,,,,,
04-Dec-20,53182-001,Preparing Projects to Enhance Transport Connectivity and Resilience in the Pacific,REG; FIJ; COO,Regional; Fiji; Cook Islands,Pacific,PARD,PATC,Sovereign,,TRTA,Technical assistance,9968,ADB funds,Regional Cooperation and Integration Fund,0.7,Transport,Transport,,Dual-use,Low,,,Technical Assistance,USD,https://www.adb.org/projects/53182-001/main,,,,,,,,,,,,,,
04-Dec-20,53182-001,Preparing Projects to Enhance Transport Connectivity and Resilience in the Pacific,REG; FIJ; COO,Regional; Fiji; Cook Islands,Pacific,PARD,PATC,Sovereign,,TRTA,Technical assistance,9968,Cofinancing (Syndicated/Contractual),Republic of Korea e-Asia and Knowledge Partnership Fund,0.5,Transport,Transport,,Dual-use,Low,,,Technical Assistance,USD,https://www.adb.org/projects/53182-001/main,,,,,,,,,,,,,,
31-Dec-20,50193-003,Implemenation Support for the Maharashtra Rural High Voltage Distribution System Expansion Program,IND,India,South Asia,SARD,SAEN,Sovereign,,TRTA,Technical assistance,9970,ADB funds,TASF,1,Energy,Energy,,Dual-use,Medium,,,Technical Assistance,USD,https://www.adb.org/projects/50193-003/main,,,,,,,,,,,,,,
